lag,OR_cumm,lower_CI,upper_CI,model
lag1,1.0319023149897228,0.9798196966789879,1.0867534009474094,Pre-2000
lag2,1.0477513859703005,0.9677110450851755,1.1344119428812158,Pre-2000
lag3,1.0484262893902652,0.9610590228294473,1.1437358769584198,Pre-2000
lag4,1.0371353170196456,0.9552317180492863,1.1260615047478368,Pre-2000
lag5,1.0190314761491523,0.9436799916429639,1.100399667873432,Pre-2000
lag6,1.0006492239800873,0.9247302643097388,1.0828010157095553,Pre-2000
lag7,0.9881108076582568,0.909387283306213,1.0736492428850988,Pre-2000
lag8,0.9858157460275238,0.9118918659956917,1.065732376124073,Pre-2000
lag9,0.9968045869919518,0.9412726670917686,1.0556127032968692,Pre-2000
lag10,1.0231219723467282,0.9867660337233553,1.060817391888591,Pre-2000
lag1,1.0663278187852976,1.0006193504885006,1.1363512174337846,post-2000
lag2,1.1158109832712102,1.0099472556067508,1.232771457595258,post-2000
lag3,1.1468423831023884,1.024880663144474,1.2833176573403253,post-2000
lag4,1.1599470385673016,1.0393790225406017,1.294500950184892,post-2000
lag5,1.157726781984705,1.044686511118219,1.2829985717820622,post-2000
lag6,1.1444765132918149,1.0351709242179281,1.265323879209768,post-2000
lag7,1.1247084690444897,1.017223423462324,1.2435509359731647,post-2000
lag8,1.1018373567934527,1.003734358398457,1.209528746991081,post-2000
lag9,1.078071536564608,1.002797457015231,1.158995996469826,post-2000
lag10,1.0544701344409124,1.0023609755232885,1.1092882619929991,post-2000
