lag,OR,lower_CI,upper_CI,model
lag1,1.0319023149897228,0.9798196966789879,1.0867534009474094,Pre-2000
lag2,1.0153590807485837,0.9869002147300578,1.0446386042590954,Pre-2000
lag3,1.0006441446215215,0.9851540246517815,1.01637782428921,Pre-2000
lag4,0.9892305520331944,0.9665386161819709,1.0124552384068028,Pre-2000
lag5,0.9825443791437773,0.9519213310132864,1.0141525623334904,Pre-2000
lag6,0.9819610555715802,0.951116707974742,1.0138056734514422,Pre-2000
lag7,0.9874697186373074,0.9643628654563919,1.0111302292464064,Pre-2000
lag8,0.997677323623074,0.9835139591125365,1.0120446515775463,Pre-2000
lag9,1.011146952164955,0.9863412681150746,1.03657647907843,Pre-2000
lag10,1.0264017498496814,0.9789449417020595,1.0761591456438815,Pre-2000
lag1,1.0663278187852976,1.0006193504885006,1.1363512174337846,post-2000
lag2,1.0464052082428845,1.0085519772095326,1.0856791564351365,post-2000
lag3,1.0278106241078608,1.0075218906428138,1.0485079171381528,post-2000
lag4,1.0114267275590767,0.9865585320878318,1.0369217760004006,post-2000
lag5,0.9980858983136514,0.9645862727295351,1.032748950069177,post-2000
lag6,0.988554925998883,0.9543455542984878,1.0239905632871091,post-2000
lag7,0.9827274356286553,0.9563480977368309,1.0098344055085158,post-2000
lag8,0.9796648528214005,0.9629927031705295,0.9966256449231081,post-2000
lag9,0.9784307365489882,0.9535079722727922,1.004004931329416,post-2000
lag10,0.9781077587866719,0.931604771546812,1.026932039227553,post-2000
